company,source,date,to_grade,from_grade,action,price_target,prior_target,price_ticker,origin,signal,fwd_return,actual_up,is_directional,correct
Genmab,HC Wainwright & Co.,2022-08-22 10:17:21,Buy,,main,51.0,49.0,GMAB.CO,yahoo,1,-0.04078549848942603,False,True,0.0
Genmab,SVB Leerink,2022-11-10 08:49:55,Market Perform,,main,33.0,31.0,GMAB.CO,yahoo,0,-0.3108194622279129,False,False,
Genmab,Morgan Stanley,2022-11-14 13:41:27,Underweight,,main,34.0,31.0,GMAB.CO,yahoo,-1,-0.26756401838476696,False,True,1.0
Genmab,William Blair,2022-11-14 14:52:58,Market Perform,,init,0.0,0.0,GMAB.CO,yahoo,0,-0.26756401838476696,False,False,
Novo Nordisk,TD Cowen,2022-12-12 15:39:08,Outperform,,main,145.0,130.0,NOVO-B.CO,yahoo,1,0.46669124278926355,True,True,1.0
Genmab,Morgan Stanley,2023-01-24 13:51:24,Underweight,,main,35.0,34.0,GMAB.CO,yahoo,-1,-0.2960820895522388,False,True,1.0
Genmab,SVB Leerink,2023-02-06 09:02:10,Market Perform,,main,36.0,33.0,GMAB.CO,yahoo,0,-0.280614132445431,False,False,
Genmab,Morgan Stanley,2023-02-23 13:26:38,Underweight,,main,34.0,35.0,GMAB.CO,yahoo,-1,-0.2406639004149378,False,True,1.0
Genmab,Morgan Stanley,2023-03-01 13:13:26,Underweight,,main,33.0,34.0,GMAB.CO,yahoo,-1,-0.26420129622569577,False,True,1.0
Genmab,HC Wainwright & Co.,2023-03-02 11:12:05,Buy,,main,46.0,51.0,GMAB.CO,yahoo,1,-0.21210937500000004,False,True,0.0
Novo Nordisk,BTIG,2023-03-28 14:37:16,Buy,,main,31.0,20.0,NOVO-B.CO,yahoo,1,0.6757850584824847,True,True,1.0
Genmab,HC Wainwright & Co.,2023-04-20 12:39:15,Buy,,reit,46.0,0.0,GMAB.CO,yahoo,1,-0.2784172661870503,False,True,0.0
Genmab,HC Wainwright & Co.,2023-05-16 10:35:17,Buy,Buy,main,47.0,46.0,GMAB.CO,yahoo,1,-0.2733990147783252,False,True,0.0
Genmab,HC Wainwright & Co.,2023-05-22 10:11:55,Buy,Buy,main,51.0,47.0,GMAB.CO,yahoo,1,-0.3125,False,True,0.0
Genmab,HC Wainwright & Co.,2023-06-06 10:22:29,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1,-0.29365658038643816,False,True,0.0
Genmab,Morgan Stanley,2023-06-12 13:56:39,Underweight,,reit,33.0,0.0,GMAB.CO,yahoo,-1,-0.2985185185185185,False,True,1.0
Genmab,HC Wainwright & Co.,2023-06-14 10:19:47,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1,-0.31557223264540335,False,True,0.0
Genmab,Morgan Stanley,2023-06-20 13:04:43,Underweight,,reit,33.0,0.0,GMAB.CO,yahoo,-1,-0.32707774798927614,False,True,1.0
Genmab,HC Wainwright & Co.,2023-06-26 10:18:45,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1,-0.30781069642170067,False,True,0.0
Genmab,Morgan Stanley,2023-06-26 13:24:59,Underweight,Underweight,reit,33.0,33.0,GMAB.CO,yahoo,-1,-0.30781069642170067,False,True,1.0
Genmab,HC Wainwright & Co.,2023-06-28 10:10:02,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1,-0.29731331489529833,False,True,0.0
Genmab,Truist Securities,2023-07-11 12:12:02,Buy,Buy,reit,54.0,0.0,GMAB.CO,yahoo,1,-0.31027745212973823,False,True,0.0
Genmab,Morgan Stanley,2023-07-17 13:48:29,Underweight,Underweight,reit,33.0,33.0,GMAB.CO,yahoo,-1,-0.31943410275502604,False,True,1.0
Genmab,Morgan Stanley,2023-07-24 13:17:28,Underweight,Underweight,reit,33.0,33.0,GMAB.CO,yahoo,-1,-0.29101707498144025,False,True,1.0
Genmab,HC Wainwright & Co.,2023-07-31 10:14:00,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1,-0.3015787585217079,False,True,0.0
Genmab,Morgan Stanley,2023-07-31 13:27:24,Underweight,Underweight,reit,33.0,33.0,GMAB.CO,yahoo,-1,-0.3015787585217079,False,True,1.0
Genmab,Morgan Stanley,2023-08-01 15:22:04,Underweight,Underweight,reit,33.0,33.0,GMAB.CO,yahoo,-1,-0.28414500183083125,False,True,1.0
Genmab,HC Wainwright & Co.,2023-08-04 11:05:39,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1,-0.24278941129988152,False,True,0.0
Genmab,Morgan Stanley,2023-08-04 17:00:04,Underweight,Underweight,reit,33.0,33.0,GMAB.CO,yahoo,-1,-0.24278941129988152,False,True,1.0
Genmab,HC Wainwright & Co.,2023-08-15 10:53:08,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1,-0.28159557661927326,False,True,0.0
Genmab,BTIG,2023-08-24 10:32:33,Buy,,init,44.0,0.0,GMAB.CO,yahoo,1,-0.29524361948955913,False,True,0.0
Genmab,HC Wainwright & Co.,2023-09-05 10:13:18,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1,-0.29830827067669174,False,True,0.0
Genmab,Truist Securities,2023-09-06 16:08:23,Buy,Buy,reit,54.0,0.0,GMAB.CO,yahoo,1,-0.2829680891964629,False,True,0.0
Genmab,Truist Securities,2023-09-26 16:11:00,Buy,Buy,reit,54.0,0.0,GMAB.CO,yahoo,1,-0.375,False,True,0.0
Novo Nordisk,Argus Research,2023-10-02 14:28:04,Buy,,init,110.0,0.0,NOVO-B.CO,yahoo,1,0.26736856476965665,True,True,1.0
Genmab,BTIG,2023-10-13 15:43:15,Buy,Buy,main,46.0,44.0,GMAB.CO,yahoo,1,-0.2915194346289752,False,True,0.0
Genmab,HC Wainwright & Co.,2023-10-18 10:57:48,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1,-0.24205967276227136,False,True,0.0
Genmab,HC Wainwright & Co.,2023-11-08 13:16:06,Buy,Buy,main,49.0,51.0,GMAB.CO,yahoo,1,-0.2702020202020202,False,True,0.0
Genmab,Morgan Stanley,2023-11-09 14:07:18,Underweight,Underweight,main,32.0,33.0,GMAB.CO,yahoo,-1,-0.27471526195899776,False,True,1.0
Genmab,HC Wainwright & Co.,2023-11-20 16:40:46,Buy,Buy,reit,49.0,0.0,GMAB.CO,yahoo,1,-0.34864864864864864,False,True,0.0
Genmab,HC Wainwright & Co.,2023-11-28 12:05:31,Buy,Buy,reit,49.0,0.0,GMAB.CO,yahoo,1,-0.2780203784570596,False,True,0.0
Novo Nordisk,Argus Research,2023-12-01 11:40:47,Buy,Buy,main,115.0,110.0,NOVO-B.CO,yahoo,1,0.09590119599945668,True,True,1.0
Novo Nordisk,Cantor Fitzgerald,2023-12-01 13:47:51,Overweight,,init,120.0,0.0,NOVO-B.CO,yahoo,1,0.09590119599945668,True,True,1.0
Novo Nordisk,TD Cowen,2023-12-04 17:25:18,Outperform,Outperform,main,115.0,105.0,NOVO-B.CO,yahoo,1,0.14270958399677003,True,True,1.0
Novo Nordisk,Morgan Stanley,2024-01-23 10:36:58,Overweight,,init,120.0,0.0,NOVO-B.CO,yahoo,1,-0.18450172572670076,False,True,0.0
Genmab,HC Wainwright & Co.,2024-01-29 11:39:01,Buy,Buy,main,50.0,49.0,GMAB.CO,yahoo,1,-0.2898776997137653,False,True,0.0
Novo Nordisk,Argus Research,2024-02-01 11:27:45,Buy,Buy,main,125.0,115.0,NOVO-B.CO,yahoo,1,-0.21917461394784588,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-02-01 17:04:12,Overweight,Overweight,main,140.0,120.0,NOVO-B.CO,yahoo,1,-0.21917461394784588,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-02-14 16:32:38,Overweight,Overweight,reit,140.0,0.0,NOVO-B.CO,yahoo,1,-0.32426179934712995,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-02-15 14:18:22,Overweight,Overweight,reit,140.0,0.0,NOVO-B.CO,yahoo,1,-0.3356648389816972,False,True,0.0
